NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
692829814,CLARO,R JOÃO DIAS 655,MG,3122306,Divinópolis,20S0932,44W5220,SIM,SIM,SIM,
692830170,CLARO,R BOSTON S/N LOTE 140 150 160 QUADRA 394,MG,3122306,Divinópolis,20S0954,44W5101,SIM,SIM,SIM,
692831754,CLARO,AL RIO PARANAÍBA 150 ESQ. ALAMEDA DO RIO DO PEIXE - RANCHO ALEGRE,MG,3122306,Divinópolis,20S0838,44W5501,SIM,SIM,SIM,
695289659,TIM,AVENIDA MAGALHÃES PINTO 411 ED. RES. HIGINO PEREIRA REIS,MG,3122306,Divinópolis,20S0822,44W5235,SIM,SIM,SIM,SIM
696331799,ALGAR,AV SETE DE SETEMBRO 1407,MG,3122306,Divinópolis,20S0821,44W5326,,SIM,SIM,
696331888,ALGAR,PRACA DOM CRISTIANO 296,MG,3122306,Divinópolis,20S0818,44W5304,,SIM,SIM,
696336537,ALGAR,RUA RIO DE JANEIRO 324,MG,3122306,Divinópolis,20S0834,44W5318,,SIM,SIM,
696336561,ALGAR,RUA JOAO MORATO DE FARIA 172,MG,3122306,Divinópolis,20S0851,44W5327,,SIM,SIM,
696336618,ALGAR,AV BELA VISTA 4000,MG,3122306,Divinópolis,20S0728,44W5048,,SIM,SIM,
696356457,ALGAR,RUA JOÃO MACHADO PRIMO 0,MG,3122306,Divinópolis,20S0806,44W5519,,SIM,SIM,
696374315,ALGAR,RUA RIO BRANCO 661,MG,3122306,Divinópolis,20S0852,44W5300,,SIM,SIM,
696374684,ALGAR,RUA EPAMINONDAS DE ASSIS 0,MG,3122306,Divinópolis,20S1043,44W5427,,SIM,SIM,
696375079,ALGAR,RUA ALMIRANTE TAMANDARE 0,MG,3122306,Divinópolis,20S0916,44W5406,,SIM,SIM,
696375222,ALGAR,RUA CASTRO ALVES 2010,MG,3122306,Divinópolis,20S0952,44W5421,,SIM,SIM,
696375451,ALGAR,RUA QUATORZE 0,MG,3122306,Divinópolis,20S0744,44W5342,,SIM,,
696378833,ALGAR,AV AYRTON SENNA 0,MG,3122306,Divinópolis,20S0954,44W5203,,SIM,SIM,
696379880,ALGAR,RUA BOSTON 150,MG,3122306,Divinópolis,20S0954,44W5110,,SIM,SIM,
